T_REC,NOAA_ARS,HARPNUM,MTOT,USFLUX,LON_MAX,LON_MIN,LAT_MAX,LAT_MIN,SIZE,LON,LAT,NormF,NormS
2013.03.27_01:00:00_TAI,11706,2595,7405.700195,2.088482e+18,-17.780254,-18.358675,-6.325516,-6.686951,16.716381,-18.069464500000002,-6.5062335000000004,0.002346478482376542,0.010222723096242203
2013.03.27_02:00:00_TAI,11706,2595,224174.296875,2.670087e+20,-16.478441,-18.555265,-5.863836,-7.153919,194.940887,-17.516852999999998,-6.5088775000000005,0.29999309027194554,0.11921400379285693
2013.03.27_03:00:00_TAI,11706,2595,254454.703125,2.880966e+20,-15.850821,-18.047451,-5.847897,-7.171425,213.967148,-16.949136,-6.5096609999999995,0.32368604218080005,0.1308493091714453
2013.03.27_04:00:00_TAI,11706,2595,376746.5,4.356469e+20,-14.942308,-17.735479,-5.718419,-7.36932,339.554382,-16.3388935,-6.5438695,0.4894636758966776,0.20765083203724824
2013.03.27_05:00:00_TAI,11706,2595,409171.3125,4.471738e+20,-14.320696,-17.231346,-5.699983,-7.411157,368.402313,-15.776021,-6.5555699999999995,0.5024145286301491,0.22529247411949688
2013.03.27_06:00:00_TAI,11706,2595,466534.3125,4.787254e+20,-13.605451,-16.754799,-5.619559,-7.476313,428.420013,-15.180125,-6.547936,0.537863792968818,0.2619956533526895
2013.03.27_07:00:00_TAI,11706,2595,546405.8125,4.377817e+20,-12.612081,-16.504398,-5.338282,-7.614314,645.805908,-14.558239499999999,-6.476298,0.4918621941813348,0.39493566049979767
2013.03.27_08:00:00_TAI,11706,2595,579958.8125,4.173853e+20,-11.931506,-16.092253,-5.225566,-7.686582,743.545349,-14.0118795,-6.456073999999999,0.4689461653537247,0.4547071649255763
2013.03.27_09:00:00_TAI,11706,2595,591385.875,3.883254e+20,-11.309729,-15.617176,-5.174754,-7.69854,800.091187,-13.4634525,-6.436647000000001,0.4362964082334747,0.4892871642758525
2013.03.27_10:00:00_TAI,11706,2595,611624.0,4.263363e+20,-10.633049,-15.084699,-5.072548,-7.71102,859.583313,-12.858874,-6.391784,0.4790029093887475,0.5256689343793667
2013.03.27_11:00:00_TAI,11706,2595,681382.3125,5.62312e+20,-9.955867,-14.585861,-5.019361,-7.782008,940.675964,-12.270864,-6.4006845000000006,0.6317760978462433,0.5752602733368365
