T_REC,NOAA_ARS,HARPNUM,MTOT,USFLUX,LON_MAX,LON_MIN,LAT_MAX,LAT_MIN,SIZE,LON,LAT,NormF,NormS
2012.03.13_03:00:00_TAI,11435,1471,310274.1875,4.398127e+20,-29.386209,-34.043213,-25.067472,-27.21973,533.632385,-31.714711,-26.143600999999997,0.0262062824142928,0.11559122934097363
2012.03.13_04:00:00_TAI,11435,1471,322563.40625,4.785845e+20,-28.881353,-33.626423,-25.070044,-27.277542,558.988464,-31.253888000000003,-26.173793,0.02851650388018152,0.12108366275630476
2012.03.13_05:00:00_TAI,11435,1471,326037.8125,4.326155e+20,-28.374607,-33.145523,-25.070896,-27.309248,574.86499,-30.760064999999997,-26.190072,0.025777436553788658,0.12452271032835932
2012.03.13_06:00:00_TAI,11435,1471,334373.59375,4.097523e+20,-27.87771,-32.60236,-25.071875,-27.338892,586.385315,-30.240035,-26.2053835,0.02441513056286466,0.1270181520717564
2012.03.13_09:00:00_TAI,11435,1471,351675.40625,6.279921e+20,-26.211208,-31.127306,-25.111914,-27.366558,624.174561,-28.669257,-26.239236,0.0374189702265187,0.13520375984930627
2012.03.13_10:00:00_TAI,11435,1471,358722.09375,4.452288e+20,-25.655172,-30.625963,-25.131102,-27.412296,643.426758,-28.1405675,-26.271698999999998,0.02652900125843725,0.13937401859165113
2012.03.13_11:00:00_TAI,11435,1471,363137.8125,4.496866e+20,-25.142994,-30.229631,-25.139637,-27.447884,672.748413,-27.6863125,-26.293760499999998,0.026794619704076574,0.14572544373568902
2012.03.13_12:00:00_TAI,11435,1471,358369.6875,3.825085e+20,-24.624851,-29.771666,-25.167385,-27.477152,688.839172,-27.1982585,-26.3222685,0.022791806095793767,0.1492108967668789
2012.03.13_13:00:00_TAI,11435,1471,351281.40625,3.940658e+20,-24.145554,-29.230999,-25.193714,-27.504919,688.844055,-26.6882765,-26.3493165,0.02348044893795523,0.14921195448374305
2012.03.13_14:00:00_TAI,11435,1471,345003.90625,3.78172e+20,-23.670311,-28.662281,-25.206493,-27.510628,684.41272,-26.166296000000003,-26.3585605,0.022533415322426878,0.14825207372187424
2012.03.13_15:00:00_TAI,11435,1471,342356.0,4.031216e+20,-23.151358,-28.106184,-25.227713,-27.527466,680.341675,-25.628771,-26.3775895,0.0240200396598406,0.14737023613202777
2012.03.13_16:00:00_TAI,11435,1471,343349.59375,4.200585e+20,-22.641047,-27.549086,-25.236414,-27.530842,673.583801,-25.0950665,-26.383628,0.025029226490104105,0.14590639888123683
2012.03.13_17:00:00_TAI,11435,1471,340269.09375,3.874383e+20,-22.135757,-26.976019,-25.262104,-27.545269,661.979492,-24.555888000000003,-26.4036865,0.023085548707241735,0.14339276518757987
2012.03.13_18:00:00_TAI,11435,1471,338371.3125,3.384639e+20,-21.660578,-26.393681,-25.288151,-27.568413,651.616943,-24.0271295,-26.428282,0.020167404330168174,0.14114811173009512
2012.03.13_19:00:00_TAI,11435,1471,329429.5,3.111423e+20,-21.159901,-25.817284,-25.31456,-27.563711,635.979614,-23.488592500000003,-26.4391355,0.01853944414254662,0.13776087712153728
2012.03.13_20:00:00_TAI,11435,1471,325966.8125,3.492425e+20,-20.651281,-25.244884,-25.342081,-27.558512,618.803589,-22.948082499999998,-26.4502965,0.020809648257255082,0.13404034234750686
2012.03.13_21:00:00_TAI,11435,1471,319066.09375,3.429424e+20,-20.144148,-24.661762,-25.367601,-27.552967,599.651733,-22.402955,-26.460284,0.020434256187316476,0.12989181867947405
2012.03.13_22:00:00_TAI,11435,1471,308929.0,3.546477e+20,-19.623228,-24.0811,-25.391884,-27.543077,580.949036,-21.852164000000002,-26.4674805,0.021131717623841664,0.12584058828381178
2012.03.13_23:00:00_TAI,11435,1471,303116.40625,3.502317e+20,-19.099224,-23.493046,-25.418148,-27.508156,554.792664,-21.296135,-26.463152,0.020868589835259122,0.12017480172443754
2012.03.14_00:00:00_TAI,11435,1471,294280.90625,2.97195e+20,-18.575266,-22.86627,-25.460903,-27.471012,523.596985,-20.720768,-26.465957500000002,0.017708392918430387,0.11341744031404191
