AR,area,mfield,flux
7982,9159634811250000.0,31.216962333347485,344923.99729280034
8016,2396547870750000.0,31.446150507158634,133815.37708710227
8040,5495780886750000.0,32.417394420658304,324244.7300636424
8052,5215531092750000.0,48.90211228628953,185847.09519526712
8056,7447226143500000.0,31.679011769286667,219964.67395361327
8060,5293836182250000.0,23.810369261828335,130242.97569836586
8084,1.0896771402e+16,28.767399963328664,560457.9178989042
8088,5506084188000000.0,31.536832537462836,289814.8120749928
8122,8116940724750000.0,37.03090060376975,317234.1216798788
8130,3173416785000000.0,52.101514013922326,150249.54747474752
8164,7640928207000000.0,52.64323616567393,401817.25502301566
8167,4286173320000000.0,32.54548692886949,173866.4795975685
8171,9068965760250000.0,53.87349410671486,548756.4267061588
8193,7418376900000000.0,82.66852396912627,510221.1212244779
8205,7410134259000000.0,54.67735499233231,350463.12108510407
8214,1.455856466625e+16,59.622513056740615,785500.0578936194
8226,5096012798250000.0,62.52996229519117,519400.6793772746
8404,1.4614202493e+16,48.722335344942714,752236.4623901146
8407,3470151861000000.0,30.924563449162704,147454.03069025127
8476,1.0567065762e+16,39.94443794132448,671329.9708198512
8488,5790455302500000.0,21.075576642751912,305758.85885254503
8524,5458689002250000.0,72.85570981383324,357515.9440433674
8536,7863479514000000.0,69.43914994835853,388491.0997352204
8552,4762185837750000.0,51.38282993596395,310872.03705587983
8582,1.105132092075e+16,85.467221360719,599710.6167371455
8589,4613818299750000.0,42.50974424365676,227465.18183743954
8614,7195825593000000.0,40.59410212923686,569917.2874332147
8628,6282953102250000.0,50.741735791931156,423038.2357974276
8649,7080428619000000.0,54.54381924264959,429190.7997878473
8690,9505825733250000.0,72.45474357658557,601890.1100855938
8699,1.08102236715e+16,91.39980184971901,621162.7938679715
8722,1.1778733989e+16,45.29673400342016,356075.6563806534
8749,1.16180024895e+16,81.52056007146835,518831.48880182067
8757,6355076211000000.0,41.71594733595848,303577.12307088077
8760,2.21191271235e+16,103.31364603144628,1424171.1665016937
8797,1.079579904975e+16,26.57154611362122,373290.36924956646
8828,1.4688386262e+16,85.7849227068901,628495.8295902939
8851,5396869194750000.0,61.993589920232324,254026.6684038192
8898,9748983642750000.0,69.3861371114547,818353.2658564209
8900,1.746409561875e+16,48.785138166521655,883313.7989583788
8913,1.08184663125e+16,35.38303755839666,711435.6514561912
8924,1.029711926925e+16,101.17457931425189,640134.1434117313
8968,3884344571250000.0,45.8416884490482,273907.11640156433
8972,5804879924250000.0,73.57926898084435,476193.42776647955
8986,9303881028750000.0,56.97499020915862,495013.15574060846
9032,1.017760097475e+16,99.61401214306171,638298.5804044558
9035,3890526552000000.0,28.993853080090233,141528.80542239826
9063,1.27060311015e+16,28.990980462754273,333410.6553126275
